"Cell01" "Cell02" "Cell03" "Cell04" "Cell05" "Cell06" "Cell07" "Cell08" "Cell09" "Cell10" "Cell11" "Cell12" "Cell13" "Cell14" "Cell15" "Cell16" "Cell17" "Cell18" "Cell19" "Cell20" "Cell21" "Cell22" "Cell23" "Cell24" "Cell25" "Normal"
"IVNS1ABP" 0 0 20.3581 0 0 0 0 0 0 0 0 2.84968 0.640313 0 4.98355 0.339141 0 0 0 19.7521 0.9077 0.221813 0 0 87.6048 0
"IWS1" 0 0.370265 3.33938 4.59025 13.2126 20.4471 56.2613 0.16047 4.7889 1.36677 23.9376 10.053 5.93569 0 2.63661 8.93745 0 14.7272 4.41888 6.20049 0 27.1684 5.20772 51.7588 0.214463 0
"IYD" 5.10884 0.623556 0 4.91289 0 0 0 0 0 0.648093 0 0 0 0 0 1.16308 0.35294 0.194091 0 0 0 0 0 0 0 0
"IZUMO4" 0 0 0 0 0.475713 0 0 0 0 4.73349 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"JADE1" 0 0 0 0 0 0 0 0 2.13042 4.05405 0 0 0 0 0.041068 0 0.0666482 0 0 0.0468903 0 9.23796 0 0 0 0
"JADE2" 0 0.165344 0 0 0 0 0 0 7.91705 0 0 0 2.65739 0 0 1.08149 0 0 0 0.612048 0 8.20354 0 0 0 0
"JADE3" 0.935269 3.60053 0 5.86621 5.55037 0 0 0.0948133 0.296908 10.2641 7.32174 3.46615 0 0 0 1.01089 1.00657 4.04203 0 0 0 0 3.61738 1.27002 0 0
"JAG1" 0.132488 0 0 2.88987 0 0 0 0 0 0.293417 0 0.0385849 0 0 0.0386874 0 6.4007 1.26775 0 3.57807 0 0 0 0 2.07601 0
"JAGN1" 11.3415 39.6054 57.835 43.9208 23.3701 0 0 25.3541 46.1299 14.6264 0 21.7766 1.0929 0 5.97588 34.9576 73.1638 0 20.8495 2.27141 0 66.4466 61.9529 79.3007 4.11623 0
"JAK1" 31.6826 36.877 35.8513 10.4209 16.8203 0 0 16.9173 21.8881 31.5869 0.188986 5.5218 0.923259 0.252321 1.52218 14.8019 64.1695 3.31691 8.52971 0 0 30.0447 4.20999 2.86623 0.12377 235.209
"JAK2" 0 1.08707 0 0 0 0 0 0 0 0 0 4.56711 0 0 0.044024 2.32608 0 0 0 0 0 0 1.83756 0.160902 0 1.07467
"JAK3" 0 0 0 0 0 0 0 0 0 0 0 0 0.122309 0 0 0 0 0 0 0 0.189132 0 0 0 0 74.9194
"JAKMIP2" 0 0 0 2.3759 0 0 0 0 0 0 0.677504 0.620005 0 0 0 1.28877 0 0.860875 0 0 0 0 0 0 0 0
"JAKMIP2-AS1" 0 0 0 0 0 0 0 0 0 0 0 6.36806 0 0 0 0 0 0 0 0 0 0 0 0.953041 0 0
"JAM2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0635488 0 0 0 0 0 0
"JAM3" 0 5.42033 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.571667 0 0 0 0 0 0 0 0
"JARID2" 0 0 0 0.072062 8.40303 0 0 0 0 0 0 0 0 0 6.55398 0 0 0 0 0 0 0 0 0 0 0
"JAZF1" 0.895665 4.83954 22.0811 8.31006 10.5222 0 1.12872 19.0228 7.15218 9.78116 0 24.5061 0 89.9823 0 0.575431 10.5375 18.6461 13.9334 0 0 24.9924 17.1741 15.5604 0 0
"JHDM1D-AS1" 0 1.10986 0 1.25159 6.82015 23.3875 0 0 0 0 0 0 0 0 3.48761 0 0 0 0 0 0 9.97583 0 0 0 0
"JKAMP" 32.0454 4.83301 0 18.2837 6.43124 0 0 51.3239 0 0 0 6.02344 0.447573 0 8.84722 2.19176 0 31.7293 55.943 0.347937 0 26.1496 1.08157 0 0 44.0466
"JMJD1C" 0 1.99719 0 0.321063 2.48321 0.10772 0.0363387 0 0 0 0 0 8.31431 41.7041 0.105672 3.61901 0 3.51702 0.16762 0 0 8.8069 6.83687 10.4227 0 0
"JMJD1C-AS1" 0 0 0 0 0 0.405746 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"JMJD4" 0 4.56502 2.49093 4.0674 0 0.0982709 0 24.3195 8.00372 1.61576 12.5012 1.67926 0 0 0.190533 32.2282 8.4312 3.73799 0 1.70496 0.140272 0.472667 4.03803 0 38.5854 0
"JMJD6" 0 7.24723 0 5.29325 6.25822 0 0 0 11.0501 28.3805 0 6.33997 0 0 12.1242 11.1819 2.35253 2.48873 5.37352 58.3259 0 0 0 0 0 0
"JMJD7" 0 0 0 0 1.18625 0 0 0 6.6131 0 0 0 0 0 0 0 0 0 0 0 0 0 4.02972 0 0 0
"JMJD7-PLA2G4B" 0 0 0 0 0 1.6529e-05 0 0 1.59957e-07 0 0 0 1.78021e-05 0 0 0 0 0 0 1.57475e-05 0 0 0 0 0 0
"JMJD8" 11.6809 11.448 2.96448 11.2225 18.5029 67.7196 0 0 0 12.487 7.73649 3.03351 42.7879 7.06173 18.3249 16.6075 0 7.8592 25.4243 43.6064 0 14.9459 3.61715 8.45275 0 58.5994
"JMY" 0 1.4701 1.82979 0 2.96658 0 0 1.90749 0 0 0 0 4.55584 0 0 0 0 0.158956 0 0 0 0 0 0 0 0
"JOSD1" 18.383 7.6908 0 8.18378 7.1761 0 0 3.19297 3.59064 14.1896 25.2511 0.690483 18.2855 0 5.04923 2.59084 0 0 0 0 0 34.6804 28.6549 2.02437 14.6656 218.46
"JOSD2" 2.40712 9.69417 8.55813 4.28479 5.03643 0 3.82666 0 0.702999 0 12.2525 16.747 0 0 0 0 0 31.2826 0.314319 0.787759 2.03367 13.2173 9.44654 0 0 0
"JPH1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15.4006 0
"JPX" 3.40071 0 2.39004 1.06245 0.986364 0 0 0.306655 0 0 0 0 0.650417 0 0 3.02222 0 0.646445 0 0 0 1.36036 0.539943 0 0.408267 0
"JRK" 0 0.0386868 0.146919 0 6.41315 0 0 0 0 0 0 0 0 0 1.44945 0.0464853 0 0 0 18.5781 0 0 0 0 0 0
"JRKL" 0 0 9.07759 0 0 0 8.85985 0 0 0 0 0 0 0 0 0 0 0 3.35675 0 0 0 0.535224 0 0 0
"JTB" 29.9548 63.9255 86.6803 64.8146 50.1215 129.56 17.8673 4.26709 93.6956 70.4904 162.149 74.3768 43.589 197.611 79.8204 30.183 137.428 71.4346 65.4802 55.9767 19.3743 109.833 6.35581 27.458 1.31027 0
"JUN" 0 3.09819 3.86637 0 3.8328 9.39022 30.5493 15.2449 0 4.89999 0 0 6.85915 13.4979 7.37941 0.434153 2.90773 1.74488 1.49396 11.8571 5.70003 12.5672 0 5.76696 44.8047 0
"JUNB" 0 0 0 0 0 0 0 0 0 0 0 0 10.4582 0 0.55314 0 0 0 0 0 0 0 0 8.11638 0 0
"JUND" 7.41088 2.54916 0.221271 0.44255 2.46781 6.66891 13.5923 0 0 0.966624 0.260793 0.126786 9.22866 0 4.56415 1.46942 12.9852 0.53855 3.79455 23.138 0 3.65254 1.07991 2.32434 4.0858 1.18632
"JUP" 4.33299 39.2628 16.4908 9.22831 5.61966 21.7013 0 11.9462 0 35.2249 56.4574 9.72338 2.6543 0 6.83615 32.235 0.0603126 24.7896 19.3348 0 0 4.05057 23.9585 0 0 0
"KAAG1" 3.90793 2.92616 0.330604 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.603723 0 0 0 0 0 0 0 0
"KALRN" 0 0.12445 0 6.54252 1.63169 3.70116 0 0.72706 0.562577 0 13.0478 0.0402186 0 0 0 0.754484 0 6.40335 1.53513 0 0 0.0798117 0 0 0 0
"KANK1" 7.86842 27.5796 18.3712 21.6344 15.4112 0 0 0.0920476 1.09905 0 0 1.14564 0 11.4083 0 27.6363 0 20.0625 0.999371 0 0 8.68534 2.04759 4.02979 16.0241 0
"KANK2" 8.15315 9.81926 0.163876 16.7899 7.71412 9.4377 0 5.19491 3.75859 3.48656 16.7988 10.0138 0.0673622 0 3.11031 12.1659 2.06432 3.88731 1.83689 0.0537941 0 8.72391 5.36837 0 94.0813 0
"KANK3" 2.37404 0.13359 0.753121 0 0 0 0 0 19.0104 0 0 0 0 0 0 1.00079 0 0 0 0 0 0 0 0 0 0
"KANSL1" 0 0 4.57348 0 0 3.33453 0 0 8.09638 0 0 0 1.25347 0 2.49184 0 0 0 0 0 0 0.548126 3.68932 0 0 0
"KANSL1L" 0 5.37121 0 5.37553 0 0.798448 0 31.5118 2.22699 0 0 0 0 0 0 0 0 0 0.0778974 11.0874 26.9802 0.0425285 0.121589 0 0 0
"KANSL2" 7.90523 22.4524 0 0 14.4323 0 0 0 12.0752 0 0 0 0 0 0 0 0 18.1186 0 0 0 0 33.6586 0 0 0
"KANSL3" 0 6.91845 1.62381 4.54427 0.681056 30.3673 22.294 5.52149 0 6.20037 0 6.89405 0.801066 0 4.94953 10.5634 0 16.4927 0 15.1935 0 41.3698 8.29242 0 0 0
"KARS" 27.7635 53.3894 0.430273 34.8537 22.9982 15.769 0 2.73145 38.2842 3.05442 26.625 17.9995 11.6152 121.706 0 43.3409 0.400841 58.1235 17.6675 2.25021 0 1.59203 23.8886 0 0 0
"KAT2A" 0 10.3244 35.5849 3.74456 22.4201 2.53709 0 0.308553 0 9.34428 0 0.306857 20.1978 0 19.2072 2.15891 0 0.0813754 0.766227 22.1842 11.0921 9.74792 0 23.8984 0 0
"KAT2B" 0 0.298872 0 4.29102 8.63038 0 0 11.2558 9.07391 2.57153 0 7.72722 0 44.0685 0 5.38278 51.7975 3.43025 10.8827 10.3903 0 14.7608 15.8251 12.9181 0.129898 102.561
"KAT5" 3.07025 48.6206 0 4.9867 6.37465 0.245675 0 58.0325 5.72468 9.42372 3.91824 0 4.59039 0 28.1073 0.0657025 8.90491 2.52852 13.7176 0.135839 0 38.6765 10.395 0 0 0.1392
"KAT6A" 0 0.925955 1.56414 0 0.688956 0 0 0 0.0995638 0 0 0.723129 0 0 1.00049 0 0 0 0.0226483 0 0 2.27579 2.15721 0 0 0
"KAT6B" 0 0 1.83444 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.404626 0
"KAT7" 13.3181 6.34933 0 0 0.740433 0 0 27.6666 0 0 0 6.84076 0 0 0 0 0 0 0 0 0 2.56543 0 0 0 0
"KAT8" 0 0.780613 0 0.293943 9.81784 0 0 0 0 0 0 0 0 0 0.336109 0 0 0 21.802 0 0 6.02126 0 0 0 0
"KATNA1" 0 9.87166 0 6.77081 0 0 0 0 50.9021 25.0454 0 0 0 0 0 31.0122 21.3301 0 0 0 0 20.0159 0.0888303 37.1682 0 576.118
"KATNAL1" 0 2.40937 0 0 0 0 0 0 0 0 0 0.396897 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"KATNAL2" 0 0 0 0 3.85687 0 0 0 0 0 0 0 0 0 0 0 0 0.0900229 0 8.43484 0 0 0 0 57.0141 0
"KATNB1" 0 0 0 2.2301 0 0.0943482 0 0 0 21.5667 0 0 0 0 0 0 0 0 0 0 15.0844 16.0536 4.01847 0 0 0
"KATNBL1" 0 2.17702 22.399 0.46014 0.428356 0 0 105.115 9.50573 17.2489 0 0 0 0 0.352249 0.87371 0 4.29312 11.7377 0 0 2.09602 0 12.5739 0 0
"KAZALD1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17.1634 0 0 0 0
"KBTBD2" 0 2.75642 0 0 4.75392 0 0 0.383751 0 2.0581 0 4.13624 60.6835 0 0 1.01827 2.22481 0.607335 0 1.01885 0 6.4423 0 9.7942 0 0
"KBTBD3" 0 0 0 0.0965388 0 0 0 0 0 0.22183 1.078 0 0 0 0 0 0.0900994 0 0 5.76799 0 0 0 0 0 0
"KBTBD4" 6.28849 0 0.17715 2.65509 0 33.014 0 0 0 0 0 0 0 0 0 1.28803 0 0 0 0 0 0 0 0 0 0
"KBTBD6" 0 6.6651 0 0 3.03056 0.0919235 0 0 5.68063 0.253343 0 1.02149 0 0 0 5.75864 0 0 0 0 0 0 0 0 0 0
"KBTBD7" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.254647 0 0 0 0 0 0 0 0
"KBTBD8" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.10602 0 0 0
"KC6" 0 0 0 0.258196 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.536165 3.70726 0 0 0 0 0 0
"KCMF1" 2.71044 2.25507 3.70385 0.317268 5.28003 0 0 0.243882 0 4.84782 18.1392 0.668017 0 0 3.28889 0.787391 4.71622 0.643533 0.634831 0.069549 0 13.6161 2.51928 0 0 0.0353631
"KCNA2" 0 0 0 0 0 0 0 0 0 0 0 0 0.181352 0 0 0 0 0 0 0 0 0 0 0 0 0
"KCNA6" 0 0 0 0 0 0 0 0.0776193 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"KCNA7" 0 0 0 0 0 0.166131 0 0 0 0 0.109944 0.0535308 0.0766889 0 0 0 0 0 0 0.122491 0 0 0 0 0 0
"KCNAB2" 0 0 0 0 0 0 0 0 0 0 0 0 5.24731 0 14.6866 0 0 0 0 9.63208 0 2.01196 0 0 116.864 0
"KCNAB3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.32951 0
"KCNC2" 0 0 0 0 0 0 0 0 0 0 0 0 1.2454 0 0 0 0 0 0 0 0 0 0 0 0 0
"KCNC3" 0 0 0 0 0 0 0 0 0 0 0.583344 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"KCND3" 1.10312 0 0 0 0 0 1.13626 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"KCNE1L" 0 0 0 1.5446 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"KCNH1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.588185 0 1.01898 0 0 0 0
"KCNH5" 0 1.65677 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"KCNH8" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0651367 0 0 0
"KCNIP2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.975219 0 0 0 0 0 0 0
"KCNJ10" 0 0 0 0 0 0 0 0 0 0 0 0 10.0923 0 0 0 0 0 0 0 0 0 0 0 0 0
"KCNJ11" 0 0 0 0 0 0.0719166 0 0 0 0 0 0 0 0.0763212 0 0 0 0 0 0 0 0 0 0 0 0
"KCNJ3" 0 3.51658 0.54029 0.450014 0 0 0 0 0 0 0.318272 0 0 0.056649 0 0 0 4.7902 4.41191 0.354647 0 0 3.07785 13.4398 0 0.060209
"KCNJ4" 0 0.609355 0 0.458458 0 0 0 0 0 0 0 0 0 0 0.131301 0 0 0 0 0 0 0 0 0.481519 0 0
"KCNJ5" 0 0 0 0 0 0 0.113987 0 0 0 0 0 0.236811 0 0 0 0 0 0 0 0 0 0 0 0 0
"KCNJ8" 0 26.6849 5.87689 18.5183 31.3101 0 0 0 29.8398 1.9443 16.9996 20.3144 0 76.6474 0 5.68977 0 12.7848 16.3039 0 0 0 6.44719 0 0 0
"KCNK1" 14.6918 15.3358 37.982 15.7088 9.79998 0 7.99318 56.9108 0 0.217142 5.156 23.3633 0 0 0 0.94343 0 50.0902 0 0 0 0 13.184 11.2812 0 0
"KCNK10" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6.16317 0 0 0 0 0 0 0
"KCNK2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11.3973 0 0 0 0
"KCNK5" 0 0.771496 0 0 0 0 0 0 0 3.08339 0 0 0 0 0 0 0 0 0 12.4053 0 0 0 0 0 0
"KCNK7" 0 0 0 0 0 17.8046 0 0 0 0 0 0 0 0 0 2.10714 0 0 0 0 0 0 0 0 0 0
"KCNK9" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.410146 0 0 0
"KCNMB3" 0 1.12865 0 0.703417 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9.54884 0 0 0
"KCNMB4" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0729055 0 0 0 0 0
"KCNN2" 0 0 0 0 0 0 0 0.358991 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"KCNN3" 0 0 0 0 0 0.0196955 0 0 0 0 0 0 0 0 0 0.010489 0 0 0 0 0 0 0 0 0 0
"KCNQ1OT1" 0.0586159 0.0755155 0.102003 0.118904 0.134899 0.566625 0.155111 0.0783206 0.0292211 0.0185358 0.0550688 0.0195206 0.707985 0.0588295 0.029391 0.026923 0.144869 0.0310095 0.0244145 0.397281 0.697171 0.0846941 0.0345971 0.0536237 0.446687 0
"KCNT2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.552062 2.33041 0 0 0 1.27869 0 0 0
"KCNU1" 0 0 0 0 0 0 0 0 0 0 0.647697 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"KCTD1" 0 5.196 0 0.533326 4.45672 9.7556 0 12.6246 0 0 0 0 0 0 4.8832 0.758632 0 0 0 0 0 9.25813 13.2287 0 0 0
"KCTD10" 0 0 0 0 0 0 0 0 0 0 0 0 0.169694 0 0 0 0.192679 0 0 0.203294 0 0 0 0 0 43.3847
"KCTD11" 0 0 0 0 0 0 0 0.157368 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"KCTD12" 0 0 0 0 0 0 0 0.0742837 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"KCTD13" 0 0 0 0 5.22957 0 0 0 0 0 0 0 0.209026 0 0 0 0 0 0 0 0 0 0.104079 0 0 0
"KCTD14" 0 6.81416 0 7.68319e-31 0 1.24019e-06 0 0 0 0 0 1.66943e-66 0 0 0 0 0 1.00121 7.0339e-16 32.5367 0 0 0 0 0 0
"KCTD17" 0 6.90055 0 2.69867 6.67561 0 6.37014 0 0 0 0 0 0 0 0.171372 0 0 0 0 0 0 21.5636 12.4389 0 0 0
"KCTD18" 0 0 19.3597 2.98849 4.10796 0 0 0 0 0 0 18.5286 0 0 0 0 0 19.3968 13.4133 0.0932773 0 6.64487 0.752841 0 58.1401 0
"KCTD2" 0 0.204303 0 8.63297 7.82961 0 0 0 0 0 0 0.132064 0 3.98499 0 2.87898 0 0 0 0.0754936 0 0 1.4992 4.84056 4.97206 0
"KCTD20" 0 12.7441 1.07319 3.96052 3.46248 0 0 28.8322 3.97587 10.7176 1.75071 16.1506 0.271479 0 0.714485 4.18123 0 5.7237 5.42245 0.108393 0.0699574 4.08887 2.75451 0 0 0.0551891
"KCTD21" 5.43291 0 10.4175 4.77803 16.5498 15.5496 0.0968446 7.63142 0 0.133749 3.61026 7.30993 0 0 0 3.56819 0 0.969125 0 0.0803611 0 10.605 7.18021 0 0 0
"KCTD21-AS1" 0 0 0 0 0 0 0 2.5658 0 0 9.21302 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"KCTD3" 13.365 94.8325 34.2312 19.0901 58.3365 1.36204 0 35.2537 6.70291 129.021 25.8225 11.314 13.2027 0.0656659 0 53.8075 53.5896 29.3896 60.5219 13.1466 0 22.1016 38.2163 205.326 9.01451 0.0698085
"KCTD5" 0 8.09476 0 9.2998 7.8522 0 0 0 0 0 0 0 0 0 0.395286 5.28549 0 0 0.0896103 0 0 0 4.13393 0 0 0.115344
"KCTD6" 0.283041 9.66935 65.5155 14.0841 73.344 0 0.225783 0 36.3104 42.0735 0 24.847 0 258.207 0 25.1583 0 23.4346 0 0 0 0 25.2375 34.4008 0 0
"KCTD7" 0 2.49272 0 0 0 0 0 0.0924826 0 0 0 0 18.3965 0 0 0 0 0 0 0 0 0 0.343852 0.222041 0 0
"KCTD9" 0 9.93157 0 8.63581 6.00579 0.216422 0 0 0 7.17038 26.2368 4.81498 0 0.0765601 0 8.31724 0.0567368 0 2.40818 0 0 22.5813 19.9005 0 0 0
"KDELC1" 2.82038 36.0726 22.2914 19.4274 31.3725 0 0 0 13.3812 4.24308 40.0102 28.4793 0 0 0 23.1552 27.5326 0 0 0 0 11.641 7.40299 44.2572 0 0
"KDELC2" 0 1.42878 10.5119 5.11146 0.529465 0 0 0 0 0 0 1.79274 0 0 2.77663 0 0 0.345589 0 0 0 8.84181 3.00557 0 3.65251 0
"KDELR1" 124.729 216.607 173.528 167.82 88.9436 0 131.605 67.8057 102.812 100.309 136.713 112.059 0 26.0762 5.43171 108.604 43.1249 67.4305 63.1631 0.375328 0 65.6804 125.087 40.4959 19.4577 0
"KDELR2" 217.035 244.773 193.951 231.114 137.303 8.62854 0 255.496 80.639 202.733 261.604 214.747 0.265421 125.718 1.30087 100.434 168.75 118.246 172.699 0.318078 0 212.717 271.499 241.994 0.225743 0
"KDELR3" 31.7046 56.8504 0.255439 58.4182 0 0 0 0 45.7634 0 0.903279 42.3049 0 0 29.3468 13.971 13.7952 0 42.1795 3.00159 0 60.1926 48.4323 102.136 0 0
"KDF1" 0 0 0 0 0 0 0 0 0 0 0 3.06816 0 0 0 0 0 0 0 0 0 0 0 0 39.3152 0
"KDM1A" 8.25751 41.6887 13.7419 6.45664 18.8067 11.3191 0 45.6427 12.1392 14.5483 12.7922 12.9231 0.112705 0 6.70751 10.2619 0 0.167149 0 0 0 0 0.782656 0 0 0
"KDM1B" 0 0.0940217 0 0 0 0 0 0.122158 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"KDM2A" 0 7.1516 0 2.2576 4.35169 0.0447084 0 11.9759 0 2.21777 0.177414 0.950409 8.17376 0 4.98055 0.357539 0 0.686875 2.43396 3.51081 0.0638336 15.1318 8.73199 0 9.29652 0
"KDM2B" 0 3.58611 2.59166 1.52367 1.94972 0 0 0 0 0 0.0912135 3.58617 0 0 0.131529 0.193042 0 0 2.26181 0 0 0 0 0 0 0
"KDM3A" 0 8.28391 0 3.78432 3.85676 0 0 0 13.6313 0 0 0 0 0 0.0506215 0.0557396 0 0 0.321261 0 0 9.17345 0 0 6.52125 0
"KDM3B" 0.057962 3.02987 6.29573 2.64609 5.48665 0 1.86378 13.5607 0.337276 2.11791 6.51578 4.18668 2.80832 0 0.74488 0 9.30758 3.57814 0 0 0 0 12.9056 0 0 0
"KDM4A" 0 0 0 0 4.7147 0 0 0 0 0.887116 0 8.29245 7.94536 0 0 0 0 0 0.517965 0 0 0 0 0 0 0
"KDM4A-AS1" 0 0 0 0 0.26651 0 0 0 0 0 0 0 0 0 15.6024 0 0 11.3591 0 0.187252 0 1.30743 0 4.82463 0.441245 0
"KDM4B" 0.283829 0.511535 1.72873 0.575916 1.00725 2.65209 0 1.9924 2.39507 1.25722 0 0.2893 0 0.317248 0 1.39099 0 1.22656 0 0 0 0.697131 0 0 0 0
"KDM4C" 0 4.01925 4.13063 3.5687 0 1.08023 0 0 0 0.132536 0 0 0.0997013 0 0 0 0 0 0 0.159272 1.74756 8.3291 1.03621 0 0 0
"KDM4D" 0 10.8462 0 0 0 0 0 0 0.161248 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"KDM4E" 0 0 0 0 0 0 0 0.210292 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"KDM5A" 0.0360257 3.79979 5.5587 1.60795 1.67174 0 0 0 0 3.5097 0 3.23239 0 0 0.0842263 0 0 0.111189 0.209922 0 0 3.72691 1.71154 0 0 104.239
"KDM5B" 0 0 0 4.33986 5.45734 0 0 0.0725268 0.432922 0.0686492 0 0 0 0 0 5.75828 11.1003 3.40628 0 36.5099 0 14.0094 0.947569 22.8893 0 0
"KDM5C" 0 0.410152 0 0 0.18461 0 0 0 0.454023 0.254884 0 0 0 0 0.113915 0.38841 2.83321 0.16055 0 2.86162 0 0.601205 0.0537133 0 0 0
"KDM5D" 3.59652 5.6714 2.20576 0 0 0 0 0 0 3.15307 1.0753 0 17.8269 0 0.174983 9.14978 0 0 0 4.69528 0.193431 0 0.959448 0 0.23474 0
"KDM6A" 0 11.7571 0 2.84696 0 0 0 0 0 0 0.754247 0 0.0599862 0.0918126 0 0 0 1.06603 0 0 0 0 0 0 0 0
"KDM7A" 0 0.0384756 0 0 2.58664 0 0 0 0 0 0 3.55596 0.107031 0 0.199547 0 0 0 0 0.0854554 0 0 0 5.46585 0 0
"KDM8" 0 0 2.0596 0.343141 0 0 0 0 0 0 0 0 0 0 0 2.44336 0 15.1409 0 0 0 0 0.209426 0 0 0
"KDSR" 15.9565 2.28112 2.33624 5.91523 8.78328 0 0 24.9525 10.2688 30.5839 1.10097 3.57434 0 4.45885 4.83728 7.44492 1.96186 0 1.7458 0 0 1.86205 1.45764 18.0076 0 0
"KEAP1" 0 19.0141 10.556 23.093 23.4812 0 0 2.66366 35.7722 48.6265 0.194195 41.5105 0 0 4.63762 48.9973 6.61088 12.1413 13.3024 0 99.2512 1.68998 36.0264 0 0 0
"KEL" 0 0 0 0.664138 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"KERA" 0 0 0 0 0 0 0 0.192979 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"KGFLP1" 0 8.48403 1.42552 0.610886 0 0 0 17.6265 0 0 3.17702 0 0 0 0 6.31205 0 0 0 0 0 10.433 0 24.3893 0 0
"KGFLP2" 0 0 2.85021 0.0863256 0 1.07661 0 0 0.0990423 0 5.80025 0 0 0 0 0 0 0 0 0 0 0.344193 0.0351436 0 0 0
"KHDC1L" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 35.3367 0 0 0 0 0 0 0
"KHDRBS1" 14.0181 14.7688 35.4245 12.5755 8.7358 5.12324 0 59.148 0 34.2101 18.5528 1.12836 31.2961 0 4.95333 39.9581 16.4316 34.1252 7.95822 1.58668 0 24.9305 7.39018 0 1.83851 321.067
"KHDRBS3" 8.75356 0.196872 0 1.77729 0.412939 0 0 0 0 0 16.2339 3.69147 0 0 0 0 34.455 23.3855 63.8405 0.145187 0 0 17.0765 0 0 0
"KHK" 80.0949 97.5273 70.2206 82.8789 46.1687 17.2903 0.138814 61.7254 67.8629 75.1261 51.6427 112.888 3.89273 12.292 71.2771 77.1616 0.574081 139.404 99.2401 8.98502 112.7 57.2037 18.8277 38.4604 128.753 0
"KHNYN" 9.57222 12.0424 7.89097 10.1023 5.83719 3.21513 26.1779 16.3089 0.672859 19.4206 10.2952 3.03102 0.0536064 0 0 4.41833 6.4814 3.96597 6.25775 15.8946 0 14.8511 7.96131 16.0407 28.0869 0
"KHSRP" 1.13227 0.679796 1.66027 0.383004 3.21094 1.13557 0 0 0.586018 2.09068 1.20388 1.02536 0.104819 1.20537 1.39379 0.161657 0 1.78674 2.52731 0.251178 3.35037 0.581627 2.64988 0 27.959 0
"KIAA0020" 15.6002 12.1556 0 2.31733 0 10.7383 0 42.1193 7.75858 2.31963 42.3349 10.2941 0 0 11.4062 5.19227 56.957 40.0682 0 0 0 8.46496 5.97014 0 30.0323 0
"KIAA0040" 0.978697 0.801591 12.5549 11.375 1.01001 0 0 0.208177 0 0 0 5.0261 0 0 6.128 0.0285739 31.4729 0 0 0 0 23.4993 5.6965 0 0 0
"KIAA0087" 0 0 0 0 0 0 0 0 0 0 0 0 0.0776547 0 0 0 0 0 0 0 0 0 0 0 0 0
"KIAA0100" 0.211899 0.047747 1.02174 0 0.100301 0.191725 0.0851855 0 0 0 0 0.123439 0.0442617 0 0.0309491 0 12.2715 0.228914 0 0 0 0.0918474 0 0 0 0
